Extract Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
10253-104C1	10253-104C1	Ileum epithelium, pool2	Mus musculus	standard whole cell	standard whole cell	10253-104C1.rna	10253-104C1.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"Cont_ileum_b";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.29; A260A230:2.23	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13232	CNhs13232	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch08	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	female	Ileum%20epithelium%2c%20pool2.CNhs13232.10253-104C1.mm9.nobarcode.bam
11845-124H9	11845-124H9	GP2+ M cell, pool1	Mus musculus	standard whole cell	standard whole cell	11845-124H9.rna	11845-124H9.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"M cell_a";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.55; A260A230:1.36	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13228	CNhs13228	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch20	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	male	GP2%2b%20M%20cell%2c%20pool1.CNhs13228.11845-124H9.mm9.nobarcode.bam
11846-124I1	11846-124I1	GP2+ M cell, pool2	Mus musculus	standard whole cell	standard whole cell	11846-124I1.rna	11846-124I1.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"M cell_b";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.09; A260A230:3.02	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13231	CNhs13231	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch11	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	male	GP2%2b%20M%20cell%2c%20pool2.CNhs13231.11846-124I1.mm9.nobarcode.bam
11847-124I2	11847-124I2	GP2+ M cell, pool3	Mus musculus	standard whole cell	standard whole cell	11847-124I2.rna	11847-124I2.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"M cell_c";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.16; A260A230:1.2	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13240	CNhs13240	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch09	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	male	GP2%2b%20M%20cell%2c%20pool3.CNhs13240.11847-124I2.mm9.nobarcode.bam
11850-124I5	11850-124I5	CD326+ enterocyte isolated from mice, treated with RANKL, day03, pool1	Mus musculus	standard whole cell	standard whole cell	11850-124I5.rna	11850-124I5.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"RANKL_Ep+_a";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.12; A260A230:1.74	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13242	CNhs13242	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch03	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	male	CD326%2b%20enterocyte%20isolated%20from%20mice%2c%20treated%20with%20RANKL%2c%20day03%2c%20pool1.CNhs13242.11850-124I5.mm9.nobarcode.bam 
11851-124I6	11851-124I6	CD326+ enterocyte isolated from mice, treated with RANKL, day03, pool2	Mus musculus	standard whole cell	standard whole cell	11851-124I6.rna	11851-124I6.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"RANKL_Ep+_b";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.09; A260A230:1.75	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13233	CNhs13233	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch05	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	male	CD326%2b%20enterocyte%20isolated%20from%20mice%2c%20treated%20with%20RANKL%2c%20day03%2c%20pool2.CNhs13233.11851-124I6.mm9.nobarcode.bam
11852-124I7	11852-124I7	CD326++ enterocyte isolated from mice, treated with RANKL, day03, pool1	Mus musculus	standard whole cell	standard whole cell	11852-124I7.rna	11852-124I7.rna	total RNA	comment:Sample category:"FANTOM5 update April14"; RNA lot number:"RANKL_Ephigh_a";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.13; A260A230:2.5	OP-HELISCOPE-CAGE-v5.0	1006	OP-HELISCOPE-CAGE-v5.0	CNhs13236	CNhs13236	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch21	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_05_17_R2_30Q_1100FOV	delve_align	male	CD326%2b%2b%20enterocyte%20isolated%20from%20mice%2c%20treated%20with%20RANKL%2c%20day03%2c%20pool1.CNhs13236.11852-124I7.mm9.nobarcode.bam
12121-128C6	12121-128C6	stem cell (cKit+ Sca1- lineage-) KSL, biol_rep1	Mus musculus	standard whole cell	standard whole cell	12121-128C6.rna	12121-128C6.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; RNA lot number:"rep1";donor(cell lot):"19 pool";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.46429; A260A230:0.729843	OP-HELISCOPE-CAGE-v5.0	920	OP-HELISCOPE-CAGE-v5.0	CNhs12534	CNhs12534	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch23	/sequencedata/heliscope/srf/2011_02_16_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2011_02_16_R4_30Q_1100FOV	delve_align	male	stem%20cell%20%28cKit%2b%20Sca1-%20lineage-%29%20KSL%2c%20biol_rep1.CNhs12534.12121-128C6.mm9.nobarcode.bam
12122-128C7	12122-128C7	common myeloid progenitor CMP, biol_rep1	Mus musculus	standard whole cell	standard whole cell	12122-128C7.rna	12122-128C7.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; RNA lot number:"rep1";donor(cell lot):"19 pool";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.54408; A260A230:0.539981	OP-HELISCOPE-CAGE-v5.0	921	OP-HELISCOPE-CAGE-v5.0	CNhs12550	CNhs12550	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch24	/sequencedata/heliscope/srf/2011_02_16_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2011_02_16_R4_30Q_1100FOV	delve_align	male	common%20myeloid%20progenitor%20CMP%2c%20biol_rep1.CNhs12550.12122-128C7.mm9.nobarcode.bam
12123-128C8	12123-128C8	granulocyte macrophage progenitor GMP, biol_rep1	Mus musculus	standard whole cell	standard whole cell	12123-128C8.rna	12123-128C8.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; RNA lot number:"rep1";donor(cell lot):"19 pool";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.75084; A260A230:1.32005	OP-HELISCOPE-CAGE-v5.0	976	OP-HELISCOPE-CAGE-v5.0	CNhs12206	CNhs12206	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch01	/sequencedata/heliscope/srf/2011_01_28_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_01_28_R2_30Q_1100FOV	delve_align	male	granulocyte%20macrophage%20progenitor%20GMP%2c%20biol_rep1.CNhs12206.12123-128C8.mm9.nobarcode.bam 
