Extract Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
10000-101A1	10000-101A1	Clontech Human Universal Reference Total RNA, pool1	Homo sapiens	standard whole cell	standard whole cell	10000-101A1.rna	10000-101A1.rna	total RNA	comment:company:"Clontech"; RNA lot number:"9052727A"; RNA Catalog number:"Cat:636538"; donor(cell lot):"10-20 pool"; ethnicity:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10608	CNhs10608	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch22	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	Clontech%20Human%20Universal%20Reference%20Total%20RNA%2c%20pool1.CNhs10608.10000-101A1.hg19.nobarcode.bam
10002-101A5	10002-101A5	SABiosciences XpressRef Human Universal Total RNA, pool1	Homo sapiens	standard whole cell	standard whole cell	10002-101A5.rna	10002-101A5.rna	total RNA	comment:company:"SABiosciences"; RNA lot number:"B208251"; RNA Catalog number:"Cat:GA-004"; donor(cell lot):"10-20 pool"; ethnicity:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10610	CNhs10610	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch16	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	SABiosciences%20XpressRef%20Human%20Universal%20Total%20RNA%2c%20pool1.CNhs10610.10002-101A5.hg19.nobarcode.bam
10007-101B4	10007-101B4	Universal RNA - Human Normal Tissues Biochain, pool1	Homo sapiens	standard whole cell	standard whole cell	10007-101B4.rna	10007-101B4.rna	total RNA	comment:company:"Biochain"; RNA lot number:"B208251"; RNA Catalog number:"Cat:R4234565-1"; donor(cell lot):"5 pool"; ethnicity:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:7.7; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10612	CNhs10612	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch10	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	Universal%20RNA%20-%20Human%20Normal%20Tissues%20Biochain%2c%20pool1.CNhs10612.10007-101B4.hg19.nobarcode.bam
10010-101C1	10010-101C1	adipose tissue, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10010-101C1.rna	10010-101C1.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -1"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -1"; donor(cell lot):"3 pool"; ethnicity:"C"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10615	CNhs10615	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch01	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	adipose%20tissue%2c%20adult%2c%20pool1.CNhs10615.10010-101C1.hg19.nobarcode.bam
10011-101C2	10011-101C2	bladder, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10011-101C2.rna	10011-101C2.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -2"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -2"; donor(cell lot):"3 pool"; ethnicity:"C"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10616	CNhs10616	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch23	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	bladder%2c%20adult%2c%20pool1.CNhs10616.10011-101C2.hg19.nobarcode.bam
10012-101C3	10012-101C3	brain, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10012-101C3.rna	10012-101C3.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -3"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -3"; donor(cell lot):"3 pool"; ethnicity:"C"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10617	CNhs10617	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch20	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	brain%2c%20adult%2c%20pool1.CNhs10617.10012-101C3.hg19.nobarcode.bam
10013-101C4	10013-101C4	cervix, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10013-101C4.rna	10013-101C4.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -4"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -4"; donor(cell lot):"4 pool"; ethnicity:"mixed"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10618	CNhs10618	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch17	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	female	cervix%2c%20adult%2c%20pool1.CNhs10618.10013-101C4.hg19.nobarcode.bam
10014-101C5	10014-101C5	colon, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10014-101C5.rna	10014-101C5.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -5"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -5"; donor(cell lot):"3 pool"; ethnicity:"C"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10619	CNhs10619	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch14	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	colon%2c%20adult%2c%20pool1.CNhs10619.10014-101C5.hg19.nobarcode.bam
10015-101C6	10015-101C6	esophagus, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10015-101C6.rna	10015-101C6.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -6"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -6"; donor(cell lot):"3 pool"; ethnicity:"C"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10620	CNhs10620	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch11	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	esophagus%2c%20adult%2c%20pool1.CNhs10620.10015-101C6.hg19.nobarcode.bam
10016-101C7	10016-101C7	heart, adult, pool1	Homo sapiens	standard whole cell	standard whole cell	10016-101C7.rna	10016-101C7.rna	total RNA	comment:company:"Ambion"; RNA lot number:"0910061 -7"; RNA Catalog number:"Cat:AM6000 Lot:0910061 -7"; donor(cell lot):"3 pool"; ethnicity:"C"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10621	CNhs10621	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch08	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	heart%2c%20adult%2c%20pool1.CNhs10621.10016-101C7.hg19.nobarcode.bam
