Source Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
10101-102D4	10101-102D4	whole body, embryo E17.5, pool1 (internal control)	Mus musculus	standard whole cell	standard whole cell	10101-102D4.rna	10101-102D4.rna	total RNA	comment:Internal control RNA for FANTOM5; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1291	OP-HELISCOPE-CAGE-v5.0	CNhs14401	CNhs14401	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch13	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	undefined_sex_type	whole%20body%2c%20embryo%20E17%2e5%2c%20pool1%20%28internal%20control%29.CNhs14401.10101-102D4.mm9.nobarcode.bam
11949-126B5	11949-126B5	hematopoietic stem cell, aorta-gonad-mesonephros (AGM) region derived, embryo E10.5	Mus musculus	standard whole cell	standard whole cell	11949-126B5.rna	11949-126B5.rna	total RNA	comment:Sample category:"FANTOM5 update 25Oct2011, primary cells";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.61; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1290	OP-HELISCOPE-CAGE-v5.0	CNhs14374	CNhs14374	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch22	/sequencedata/heliscope/srf/2012_2_10_GOS039	/sequencedata/heliscope/srf/2012_2_10_GOS039	delve_align	undefined_sex_type	hematopoietic%20stem%20cell%2c%20aorta-gonad-mesonephros%20%28AGM%29%20region%20derived%2c%20embryo%20E10%2e5.CNhs14374.11949-126B5.mm9.nobarcode.bam
11956-126C3	11956-126C3	hematopoietic stem cell, bone marrow derived, embryo E19.5	Mus musculus	standard whole cell	standard whole cell	11956-126C3.rna	11956-126C3.rna	total RNA	comment:Sample category:"FANTOM5 update 25Oct2011, primary cells";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.92; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1290	OP-HELISCOPE-CAGE-v5.0	CNhs14375	CNhs14375	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch19	/sequencedata/heliscope/srf/2012_2_10_GOS039	/sequencedata/heliscope/srf/2012_2_10_GOS039	delve_align	undefined_sex_type	hematopoietic%20stem%20cell%2c%20bone%20marrow%20derived%2c%20embryo%20E19%2e5.CNhs14375.11956-126C3.mm9.nobarcode.bam
13595-146E4	13595-146E4	liver sinusoidal endothelial cells, sham operation, biol_rep1	Mus musculus	standard whole cell	standard whole cell	13595-146E4.rna	13595-146E4.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1316	OP-HELISCOPE-CAGE-v5.0	CNhs14503	CNhs14503	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch20	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	undefined_sex_type	liver%20sinusoidal%20endothelial%20cells%2c%20sham%20operation%2c%20biol_rep1.CNhs14503.13595-146E4.mm9.nobarcode.bam
13596-146E5	13596-146E5	liver sinusoidal endothelial cells, sham operation, biol_rep2	Mus musculus	standard whole cell	standard whole cell	13596-146E5.rna	13596-146E5.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1316	OP-HELISCOPE-CAGE-v5.0	CNhs14502	CNhs14502	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch23	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	undefined_sex_type	liver%20sinusoidal%20endothelial%20cells%2c%20sham%20operation%2c%20biol_rep2.CNhs14502.13596-146E5.mm9.nobarcode.bam
13597-146E6	13597-146E6	liver sinusoidal endothelial cells, sham operation, biol_rep3	Mus musculus	standard whole cell	standard whole cell	13597-146E6.rna	13597-146E6.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1291	OP-HELISCOPE-CAGE-v5.0	CNhs14398	CNhs14398	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch22	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	UNDEFINED_SEX_TYPE	liver%20sinusoidal%20endothelial%20cells%2c%20sham%20operation%2c%20biol_rep3.CNhs14398.13597-146E6.mm9.nobarcode.bam
13598-146E7	13598-146E7	liver sinusoidal endothelial cells, partial hepatectomy, 02hr, biol_rep1	Mus musculus	standard whole cell	standard whole cell	13598-146E7.rna	13598-146E7.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1316	OP-HELISCOPE-CAGE-v5.0	CNhs14504	CNhs14504	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch17	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	undefined_sex_type	liver%20sinusoidal%20endothelial%20cells%2c%20partial%20hepatectomy%2c%2002hr%2c%20biol_rep1.CNhs14504.13598-146E7.mm9.nobarcode.bam
13599-146E8	13599-146E8	liver sinusoidal endothelial cells, partial hepatectomy, 02hr, biol_rep2	Mus musculus	standard whole cell	standard whole cell	13599-146E8.rna	13599-146E8.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1291	OP-HELISCOPE-CAGE-v5.0	CNhs14399	CNhs14399	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch19	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	UNDEFINED_SEX_TYPE	liver%20sinusoidal%20endothelial%20cells%2c%20partial%20hepatectomy%2c%2002hr%2c%20biol_rep2.CNhs14399.13599-146E8.mm9.nobarcode.bam
13600-146E9	13600-146E9	liver sinusoidal endothelial cells, partial hepatectomy, 02hr, biol_rep3	Mus musculus	standard whole cell	standard whole cell	13600-146E9.rna	13600-146E9.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1291	OP-HELISCOPE-CAGE-v5.0	CNhs14400	CNhs14400	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch16	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	UNDEFINED_SEX_TYPE	liver%20sinusoidal%20endothelial%20cells%2c%20partial%20hepatectomy%2c%2002hr%2c%20biol_rep3.CNhs14400.13600-146E9.mm9.nobarcode.bam
13601-146F1	13601-146F1	liver sinusoidal endothelial cells, partial hepatectomy, 30hr, biol_rep1	Mus musculus	standard whole cell	standard whole cell	13601-146F1.rna	13601-146F1.rna	total RNA	comment:Sample category:"FANTOM5 update 10Jan2012, ";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v5.0	1291	OP-HELISCOPE-CAGE-v5.0	CNhs14402	CNhs14402	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch10	/sequencedata/heliscope/srf/2012_2_24_GOS041	/sequencedata/heliscope/srf/2012_2_24_GOS041	delve_align	UNDEFINED_SEX_TYPE	liver%20sinusoidal%20endothelial%20cells%2c%20partial%20hepatectomy%2c%2030hr%2c%20biol_rep1.CNhs14402.13601-146F1.mm9.nobarcode.bam
