Extract Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
10001-101A3	10001-101A3	Clontech Mouse Universal Reference Total RNA, pool1	Mus musculus	standard whole cell	standard whole cell	10001-101A3.rna	10001-101A3.rna	total RNA	comment:company:"Clontech"; RNA lot number:"8092682"; RNA Catalog number:"Cat:636657"; donor(cell lot):"10-20 pool"; ethnicity:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10609	CNhs10609	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch19	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	Clontech%20Mouse%20Universal%20Reference%20Total%20RNA%2c%20pool1.CNhs10609.10001-101A3.mm9.nobarcode.bam
10003-101A7	10003-101A7	SABiosciences XpressRef Mouse Universal Total RNA, pool1	Mus musculus	standard whole cell	standard whole cell	10003-101A7.rna	10003-101A7.rna	total RNA	comment:company:"SABiosciences"; RNA lot number:"A705103"; RNA Catalog number:"Cat:GA-005"; donor(cell lot):"10-20 pool"; ethnicity:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10611	CNhs10611	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch13	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	SABiosciences%20XpressRef%20Mouse%20Universal%20Total%20RNA%2c%20pool1.CNhs10611.10003-101A7.mm9.nobarcode.bam
10008-101B6	10008-101B6	Universal RNA - Mouse Normal Tissues Biochain, pool1	Mus musculus	standard whole cell	standard whole cell	10008-101B6.rna	10008-101B6.rna	total RNA	comment:company:"Biochain"; RNA lot number:"B307206"; RNA Catalog number:"Cat:R4334566-1"; donor(cell lot):"22 pool"; ethnicity:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	656	OP-HELISCOPE-CAGE-v3.12	CNhs10613	CNhs10613	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch07	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	/sequencedata/heliscope/srf/2010_07_27_R4_30Q_1100FOV/	delve_align	mixture	Universal%20RNA%20-%20Mouse%20Normal%20Tissues%20Biochain%2c%20pool1.CNhs10613.10008-101B6.mm9.nobarcode.bam
10114-102E6	10114-102E6	cerebellum, embryo E11, biol_rep1 (E11R1)	Mus musculus	standard whole cell	standard whole cell	10114-102E6.rna	10114-102E6.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:10; A260A280:1.89; A260A230:1.85	OP-HELISCOPE-CAGE-v3.12	980	OP-HELISCOPE-CAGE-v3.12	CNhs12956	CNhs12956	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch22	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E11%2c%20biol_rep1%20%28E11R1%29.CNhs12956.10114-102E6.mm9.nobarcode.bam
10115-102E7	10115-102E7	cerebellum, embryo E12, biol_rep1 (E12R1)	Mus musculus	standard whole cell	standard whole cell	10115-102E7.rna	10115-102E7.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:1.81; A260A230:0.47	OP-HELISCOPE-CAGE-v3.12	980	OP-HELISCOPE-CAGE-v3.12	CNhs12957	CNhs12957	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch19	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E12%2c%20biol_rep1%20%28E12R1%29.CNhs12957.10115-102E7.mm9.nobarcode.bam
10116-102E8	10116-102E8	cerebellum, embryo E13, biol_rep1 (E13R1)	Mus musculus	standard whole cell	standard whole cell	10116-102E8.rna	10116-102E8.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:1.85; A260A230:0.8	OP-HELISCOPE-CAGE-v3.12	980	OP-HELISCOPE-CAGE-v3.12	CNhs12958	CNhs12958	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch16	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E13%2c%20biol_rep1%20%28E13R1%29.CNhs12958.10116-102E8.mm9.nobarcode.bam
10117-102E9	10117-102E9	cerebellum, embryo E14, biol_rep1 (E14R1)	Mus musculus	standard whole cell	standard whole cell	10117-102E9.rna	10117-102E9.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:1.85; A260A230:0.74	OP-HELISCOPE-CAGE-v3.12	980	OP-HELISCOPE-CAGE-v3.12	CNhs12960	CNhs12960	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch10	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E14%2c%20biol_rep1%20%28E14R1%29.CNhs12960.10117-102E9.mm9.nobarcode.bam
10118-102F1	10118-102F1	cerebellum, embryo E15, biol_rep1 (E15R1)	Mus musculus	standard whole cell	standard whole cell	10118-102F1.rna	10118-102F1.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:1.85; A260A230:0.97	OP-HELISCOPE-CAGE-v3.12	980	OP-HELISCOPE-CAGE-v3.12	CNhs12961	CNhs12961	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch07	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2011_04_06_R2_30Q_1100FOV	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E15%2c%20biol_rep1%20%28E15R1%29.CNhs12961.10118-102F1.mm9.nobarcode.bam
10119-102F2	10119-102F2	cerebellum, embryo E16, biol_rep1 (E16R1)	Mus musculus	standard whole cell	standard whole cell	10119-102F2.rna	10119-102F2.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:1.93; A260A230:1.91	OP-HELISCOPE-CAGE-v4.0	999	OP-HELISCOPE-CAGE-v4.0	CNhs13000	CNhs13000	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch10	/sequencedata/heliscope/srf/2011_04_28_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2011_04_28_R4_30Q_1100FOV	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E16%2c%20biol_rep1%20%28E16R1%29.CNhs13000.10119-102F2.mm9.nobarcode.bam
10120-102F3	10120-102F3	cerebellum, embryo E17, biol_rep1 (E17R1)	Mus musculus	standard whole cell	standard whole cell	10120-102F3.rna	10120-102F3.rna	total RNA	comment:Sample category:"FANTOM5 update November1";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:1.91; A260A230:1.64	OP-HELISCOPE-CAGE-v4.0	972	OP-HELISCOPE-CAGE-v4.0	CNhs12818	CNhs12818	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch10	/sequencedata/heliscope/srf/2011_4_26_RIKEN16	/sequencedata/heliscope/srf/2011_4_26_RIKEN16	delve_align	undefined_sex_type	cerebellum%2c%20embryo%20E17%2c%20biol_rep1%20%28E17R1%29.CNhs12818.10120-102F3.mm9.nobarcode.bam
