Extract Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
11299-117B3	11299-117B3	Mouse Aortic Smooth Muscle cells, donor1	Mus musculus	standard whole cell	standard whole cell	11299-117B3.rna	11299-117B3.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; cell lot:"lot:2438"; cell catalog:"M354-20"; RNA lot number:""; RNA Catalog number:"N/A"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.16; A260A230:1.46	OP-HELISCOPE-CAGE-v3.12	905	OP-HELISCOPE-CAGE-v3.12	CNhs11297	CNhs11297	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch04	/sequencedata/heliscope/srf/2010_12_02_R2_30Q_1100FOV	/sequencedata/heliscope/srf/2010_12_02_R2_30Q_1100FOV	delve_align	unknown_sex_type	Mouse%20Aortic%20Smooth%20Muscle%20cells%2c%20donor1.CNhs11297.11299-117B3.mm9.nobarcode.bam
11484-119D8	11484-119D8	Mouse Aortic Smooth Muscle cells - differentiated, biol_rep1	Mus musculus	standard whole cell	standard whole cell	11484-119D8.rna	11484-119D8.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; cell lot:"lot:2438"; cell catalog:"M354-20"; RNA lot number:""; RNA Catalog number:"N/A"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.07; A260A230:1.39	OP-HELISCOPE-CAGE-v3.12	722	OP-HELISCOPE-CAGE-v3.12	CNhs11055	CNhs11055	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch17	/sequencedata/heliscope/srf/2010_10_08_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_10_08_R4_30Q_1100FOV	delve_align	unknown_sex_type	Mouse%20Aortic%20Smooth%20Muscle%20cells%20-%20differentiated%2c%20biol_rep1.CNhs11055.11484-119D8.mm9.nobarcode.bam
11485-119D9	11485-119D9	Mouse Aortic Smooth Muscle cells - differentiated, biol_rep2	Mus musculus	standard whole cell	standard whole cell	11485-119D9.rna	11485-119D9.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; cell lot:"lot:2438"; cell catalog:"M354-20"; RNA lot number:""; RNA Catalog number:"N/A"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.05; A260A230:1.53	OP-HELISCOPE-CAGE-v3.12	722	OP-HELISCOPE-CAGE-v3.12	CNhs11056	CNhs11056	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch14	/sequencedata/heliscope/srf/2010_10_08_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_10_08_R4_30Q_1100FOV	delve_align	unknown_sex_type	Mouse%20Aortic%20Smooth%20Muscle%20cells%20-%20differentiated%2c%20biol_rep2.CNhs11056.11485-119D9.mm9.nobarcode.bam
11489-119E4	11489-119E4	Mouse Neurons - substantia nigra, donor4, tech_rep1	Mus musculus	standard whole cell	standard whole cell	11489-119E4.rna	11489-119E4.rna	total RNA	comment:Sample category:"FANTOM5 update February1"; company:"Sciencell/3H"; RNA lot number:"RNASUB3";RNA Catalog number:"custom";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.07; A260A230:2.07	OP-HELISCOPE-CAGE-v4.0	952	OP-HELISCOPE-CAGE-v4.0	CNhs12612	CNhs12612	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch16	/sequencedata/heliscope/srf/2011_3_15_RikenRun13	/sequencedata/heliscope/srf/2011_3_15_RikenRun13	delve_align	undefined_sex_type	Mouse%20Neurons%20-%20substantia%20nigra%2c%20donor4%2c%20tech_rep1.CNhs12612.11489-119E4.mm9.nobarcode.bam
11489-119E4	11489-119E4	Mouse Neurons - substantia nigra, donor4, tech_rep2	Mus musculus	standard whole cell	standard whole cell	11489-119E4.rna	11489-119E4.rna	total RNA	comment:Sample category:"FANTOM5 update February1"; company:"Sciencell/3H"; RNA lot number:"RNASUB3";RNA Catalog number:"custom";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.07; A260A230:2.07	OP-HELISCOPE-CAGE-v4.0	972	OP-HELISCOPE-CAGE-v4.0	CNhs12821	CNhs12821	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch01	/sequencedata/heliscope/srf/2011_4_26_RIKEN16	/sequencedata/heliscope/srf/2011_4_26_RIKEN16	delve_align	undefined_sex_type	Mouse%20Neurons%20-%20substantia%20nigra%2c%20donor4%2c%20tech_rep2.CNhs12821.11489-119E4.mm9.nobarcode.bam
11490-119E5	11490-119E5	Mouse Neurons - substantia nigra, donor5	Mus musculus	standard whole cell	standard whole cell	11490-119E5.rna	11490-119E5.rna	total RNA	comment:Sample category:"FANTOM5 update February1"; company:"Sciencell/3H"; RNA lot number:"RNASUB1";RNA Catalog number:"custom";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.04; A260A230:1.37	OP-HELISCOPE-CAGE-v4.0	952	OP-HELISCOPE-CAGE-v4.0	CNhs12614	CNhs12614	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch10	/sequencedata/heliscope/srf/2011_3_15_RikenRun13	/sequencedata/heliscope/srf/2011_3_15_RikenRun13	delve_align	undefined_sex_type	Mouse%20Neurons%20-%20substantia%20nigra%2c%20donor5.CNhs12614.11490-119E5.mm9.nobarcode.bam
11490-119E5	11490-119E5	Neurons - substantia nigra, donor5, tech_rep2	Mus musculus	standard whole cell	standard whole cell	11490-119E5.rna	11490-119E5.rna	total RNA	comment:Sample category:"FANTOM5 update February1"; company:"Sciencell/3H"; RNA lot number:"RNASUB1";RNA Catalog number:"custom";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.04; A260A230:1.37	OP-HELISCOPE-CAGE-v4.0	974	OP-HELISCOPE-CAGE-v4.0	CNhs12923	CNhs12923	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch08	/sequencedata/heliscope/srf/2011_6_2_RIKEN19	/sequencedata/heliscope/srf/2011_6_2_RIKEN19	delve_align	undefined_sex_type	Neurons%20-%20substantia%20nigra%2c%20donor5%2c%20tech_rep2.CNhs12923.11490-119E5.mm9.nobarcode.bam
11550-120C2	11550-120C2	Mouse Astrocytes - cerebellar, donor2	Mus musculus	standard whole cell	standard whole cell	11550-120C2.rna	11550-120C2.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell/3H"; cell lot:"N/A"; cell catalog:"N/A"; RNA lot number:"lot:3221"; RNA Catalog number:"custom"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v4.0	838	OP-HELISCOPE-CAGE-v4.0	CNhs12076	CNhs12076	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch08	/sequencedata/heliscope/srf/2011_1_28_Riken_Run6_30Q_1100FOV	/sequencedata/heliscope/srf/2011_1_28_Riken_Run6_30Q_1100FOV	delve_align	undefined_sex_type	Mouse%20Astrocytes%20-%20cerebellar%2c%20donor2.CNhs12076.11550-120C2.mm9.nobarcode.bam
11551-120C3	11551-120C3	Mouse Astrocytes - hippocampus, donor2	Mus musculus	standard whole cell	standard whole cell	11551-120C3.rna	11551-120C3.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; company:"Sciencell/3H"; RNA lot number:"lot:3899";RNA Catalog number:"custom";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.1; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v4.0	838	OP-HELISCOPE-CAGE-v4.0	CNhs12077	CNhs12077	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch05	/sequencedata/heliscope/srf/2011_1_28_Riken_Run6_30Q_1100FOV	/sequencedata/heliscope/srf/2011_1_28_Riken_Run6_30Q_1100FOV	delve_align	undefined_sex_type	Mouse%20Astrocytes%20-%20hippocampus%2c%20donor2.CNhs12077.11551-120C3.mm9.nobarcode.bam
11552-120C4	11552-120C4	Mouse Astrocytes, donor2	Mus musculus	standard whole cell	standard whole cell	11552-120C4.rna	11552-120C4.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell/3H"; cell lot:"N/A"; cell catalog:"N/A"; RNA lot number:"lot:3931"; RNA Catalog number:"custom"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.7; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v4.0	838	OP-HELISCOPE-CAGE-v4.0	CNhs12078	CNhs12078	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch02	/sequencedata/heliscope/srf/2011_1_28_Riken_Run6_30Q_1100FOV	/sequencedata/heliscope/srf/2011_1_28_Riken_Run6_30Q_1100FOV	delve_align	undefined_sex_type	Mouse%20Astrocytes%2c%20donor2.CNhs12078.11552-120C4.mm9.nobarcode.bam
