Extract Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
10399-106A3	10399-106A3	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	Homo sapiens	standard whole cell	standard whole cell	10399-106A3.rna	10399-106A3.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:""; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:10; A260A280:2.06333; A260A230:1.99	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10722	CNhs10722	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch22	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aTHP-1%20%28fresh%29.CNhs10722.10399-106A3.hg19.nobarcode.bam
10400-106A4	10400-106A4	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)	Homo sapiens	standard whole cell	standard whole cell	10400-106A4.rna	10400-106A4.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:""; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.9; A260A280:2.09667; A260A230:2.04	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10723	CNhs10723	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch19	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aTHP-1%20%28revived%29.CNhs10723.10400-106A4.hg19.nobarcode.bam
10405-106A9	10405-106A9	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)	Homo sapiens	standard whole cell	standard whole cell	10405-106A9.rna	10405-106A9.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:""; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:10; A260A280:1.99; A260A230:1.47333	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10724	CNhs10724	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch16	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aTHP-1%20%28thawed%29.CNhs10724.10405-106A9.hg19.nobarcode.bam
10408-106B3	10408-106B3	lung adenocarcinoma cell line:PC-14	Homo sapiens	standard whole cell	standard whole cell	10408-106B3.rna	10408-106B3.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.6; A260A280:2.09; A260A230:2.07	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10726	CNhs10726	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch10	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	unknown_sex_type	lung%20adenocarcinoma%20cell%20line%3aPC-14.CNhs10726.10408-106B3.hg19.nobarcode.bam
10409-106B4	10409-106B4	chronic myelogenous leukemia cell line:KU812	Homo sapiens	standard whole cell	standard whole cell	10409-106B4.rna	10409-106B4.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.06; A260A230:1.85	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10727	CNhs10727	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch07	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	chronic%20myelogenous%20leukemia%20cell%20line%3aKU812.CNhs10727.10409-106B4.hg19.nobarcode.bam
10410-106B5	10410-106B5	extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS	Homo sapiens	standard whole cell	standard whole cell	10410-106B5.rna	10410-106B5.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:8.5; A260A280:1.85; A260A230:1.67	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10728	CNhs10728	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch04	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	female	extraskeletal%20myxoid%20chondrosarcoma%20cell%20line%3aH-EMC-SS.CNhs10728.10410-106B5.hg19.nobarcode.bam
10411-106B6	10411-106B6	renal cell carcinoma cell line:OS-RC-2	Homo sapiens	standard whole cell	standard whole cell	10411-106B6.rna	10411-106B6.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.08; A260A230:1.28	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10729	CNhs10729	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch01	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	renal%20cell%20carcinoma%20cell%20line%3aOS-RC-2.CNhs10729.10411-106B6.hg19.nobarcode.bam
10412-106B7	10412-106B7	malignant trichilemmal cyst cell line:DJM-1	Homo sapiens	standard whole cell	standard whole cell	10412-106B7.rna	10412-106B7.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.06; A260A230:1.76	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10730	CNhs10730	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch23	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	female	malignant%20trichilemmal%20cyst%20cell%20line%3aDJM-1.CNhs10730.10412-106B7.hg19.nobarcode.bam
10413-106B8	10413-106B8	glioma cell line:GI-1	Homo sapiens	standard whole cell	standard whole cell	10413-106B8.rna	10413-106B8.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.11; A260A230:1.45	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10731	CNhs10731	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch20	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	glioma%20cell%20line%3aGI-1.CNhs10731.10413-106B8.hg19.nobarcode.bam
10414-106B9	10414-106B9	maxillary sinus tumor cell line:HSQ-89	Homo sapiens	standard whole cell	standard whole cell	10414-106B9.rna	10414-106B9.rna	total RNA	comment:Sample category:"FANTOM5 cell line"; company:"RIKEN Bioresource centre"; RNA lot number:""; RNA Catalog number:""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.89; A260A230:1.73	OP-HELISCOPE-CAGE-v3.12	691	OP-HELISCOPE-CAGE-v3.12	CNhs10732	CNhs10732	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc1.ch17	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	maxillary%20sinus%20tumor%20cell%20line%3aHSQ-89.CNhs10732.10414-106B9.hg19.nobarcode.bam
