Extract Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
11207-116A1	11207-116A1	Endothelial Cells - Aortic, donor0	Homo sapiens	standard whole cell	standard whole cell	11207-116A1.rna	11207-116A1.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; RNA lot number:""; RNA Catalog number:"CA304-R10a"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10837	CNhs10837	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch23	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Endothelial%20Cells%20-%20Aortic%2c%20donor0.CNhs10837.11207-116A1.hg19.nobarcode.bam
11210-116A4	11210-116A4	Smooth Muscle Cells - Aortic, donor0	Homo sapiens	standard whole cell	standard whole cell	11210-116A4.rna	11210-116A4.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; RNA lot number:""; RNA Catalog number:"CA354-R10a"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10838	CNhs10838	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch20	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	male	Smooth%20Muscle%20Cells%20-%20Aortic%2c%20donor0.CNhs10838.11210-116A4.hg19.nobarcode.bam
11212-116A6	11212-116A6	Smooth Muscle Cells - Umbilical artery, donor0	Homo sapiens	standard whole cell	standard whole cell	11212-116A6.rna	11212-116A6.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; RNA lot number:""; RNA Catalog number:"CA252-R10n"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10839	CNhs10839	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch17	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Smooth%20Muscle%20Cells%20-%20Umbilical%20artery%2c%20donor0.CNhs10839.11212-116A6.hg19.nobarcode.bam
11214-116A8	11214-116A8	Mesenchymal stem cells - umbilical, donor0	Homo sapiens	standard whole cell	standard whole cell	11214-116A8.rna	11214-116A8.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell"; RNA lot number:""; RNA Catalog number:"7535"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:10; A260A280:2.16; A260A230:3.24	OP-HELISCOPE-CAGE-v4.0	916	OP-HELISCOPE-CAGE-v4.0	CNhs12492	CNhs12492	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch05	/sequencedata/heliscope/srf/2011_3_10_RikenRun12	/sequencedata/heliscope/srf/2011_3_10_RikenRun12	delve_align	undefined_sex_type	Mesenchymal%20stem%20cells%20-%20umbilical%2c%20donor0.CNhs12492.11214-116A8.hg19.nobarcode.bam
11215-116A9	11215-116A9	Retinal Pigment Epithelial Cells, donor0	Homo sapiens	standard whole cell	standard whole cell	11215-116A9.rna	11215-116A9.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell"; RNA lot number:""; RNA Catalog number:"6545"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10842	CNhs10842	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch08	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Retinal%20Pigment%20Epithelial%20Cells%2c%20donor0.CNhs10842.11215-116A9.hg19.nobarcode.bam
11216-116B1	11216-116B1	Urothelial cells, donor0	Homo sapiens	standard whole cell	standard whole cell	11216-116B1.rna	11216-116B1.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell"; RNA lot number:""; RNA Catalog number:"4325"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10843	CNhs10843	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch05	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Urothelial%20cells%2c%20donor0.CNhs10843.11216-116B1.hg19.nobarcode.bam
11217-116B2	11217-116B2	Mesenchymal stem cells - adipose, donor0	Homo sapiens	standard whole cell	standard whole cell	11217-116B2.rna	11217-116B2.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell"; RNA lot number:""; RNA Catalog number:"7515"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10844	CNhs10844	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch02	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Mesenchymal%20stem%20cells%20-%20adipose%2c%20donor0.CNhs10844.11217-116B2.hg19.nobarcode.bam
11218-116B3	11218-116B3	Mesenchymal stem cells - hepatic, donor0	Homo sapiens	standard whole cell	standard whole cell	11218-116B3.rna	11218-116B3.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell"; RNA lot number:""; RNA Catalog number:"7525"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10845	CNhs10845	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch24	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Mesenchymal%20stem%20cells%20-%20hepatic%2c%20donor0.CNhs10845.11218-116B3.hg19.nobarcode.bam
11219-116B4	11219-116B4	Mesenchymal Stem Cells - Vertebral, donor1	Homo sapiens	standard whole cell	standard whole cell	11219-116B4.rna	11219-116B4.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Sciencell"; RNA lot number:""; RNA Catalog number:"SC7555"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:NULL; A260A230:NULL	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10846	CNhs10846	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch21	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Mesenchymal%20Stem%20Cells%20-%20Vertebral%2c%20donor1.CNhs10846.11219-116B4.hg19.nobarcode.bam
11220-116B5	11220-116B5	Sebocyte, donor1	Homo sapiens	standard whole cell	standard whole cell	11220-116B5.rna	11220-116B5.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"N/A"; RNA lot number:""; RNA Catalog number:"N/A"; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:10; A260A280:2.04667; A260A230:1.69	OP-HELISCOPE-CAGE-v3.12	700	OP-HELISCOPE-CAGE-v3.12	CNhs10847	CNhs10847	OP-HELISCOPE-sequencing-v1.0	OP-HELISCOPE-sequencing-v1.0	NA	NA	fc2.ch18	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV	delve_align	undefined_sex_type	Sebocyte%2c%20donor1.CNhs10847.11220-116B5.hg19.nobarcode.bam
